id,category,question,answer_a,answer_b,answer_c,correct,correct_answer
1,Budowa jachtów,Na rysunku pokazano schematycznie miecz jachtu. Jaki to rodzaj miecza?,Szybrowy,Obrotowy,Balastowy,B,Obrotowy
2,Budowa jachtów,Na rysunku pokazano schematycznie miecz jachtu. Jaki to rodzaj miecza?,Szybrowy,Obrotowy,Balastowy,A,Szybrowy
3,Budowa jachtów,Bulbkil jest to:,Kształt dziobu jachtu,Kształt rufy jachtu,Jeden z rodzajów falszkila z balastem,C,Jeden z rodzajów falszkila z balastem
4,Budowa jachtów,"Spinaker, to żagiel stosowany przy żegludze:",Kursami ostro na wiatr (bejdewind),W żegludze sztormowej,"Na kursach pełnych (baksztag, fordewind)",C,"Na kursach pełnych (baksztag, fordewind)"
5,Budowa jachtów,"Hals, to lina napinająca lub mocująca:",Dolny róg żagla przy liku przednim,Dolny róg żagla przy liku tylnym (wolnym),Górny róg żagla gdzie mocowany jest fał,A,Dolny róg żagla przy liku przednim
6,Budowa jachtów,"Refszkentla, jest liną napinającą:",Róg halsowy żagla przy refowaniu,Róg szotowy żagla przy refowaniu,Róg fałowy żagla,B,Róg szotowy żagla przy refowaniu
7,Budowa jachtów,Lazy jack to:,System linek biegnących do kolumny masztu od bomu (często połączony z pokrowcem),System linek ułatwiający wybieranie kotwicy,System lin do cumowanie jachtu amortyzujący ruchy jachtu,A,System linek biegnących do kolumny masztu od bomu (często połączony z pokrowcem)
8,Budowa jachtów,"Główny wzdłużny element konstrukcyjny kadłuba jachtu, to:",Kingston,Stępka / Kil,Stewa,B,Stępka / Kil
9,Budowa jachtów,Szkielet jachtu w płaszczyźnie poprzecznej wzmacniają:,Wręgi,Gretingi,Szpigaty,A,Wręgi
10,Budowa jachtów,Kontrafałem nazywamy:,Linę służącą do podnoszenia żagla,"Linę służącą do opuszczania żagla, działającą przeciwnie do fału",Linę służącą do trymowania żagla,B,"Linę służącą do opuszczania żagla, działającą przeciwnie do fału"
11,Budowa jachtów,"Górny koniec masztu, to:",Pik,Top,Pięta,B,Top
12,Budowa jachtów,"Sztormreling, to:",Barierka otaczająca pokład,Uchwyt na nadbudówce,Drabinka sznurowa do wchodzenia z wody na pokład,A,Barierka otaczająca pokład
13,Budowa jachtów,"Flagsztok, jest to:","Drzewce, na którym podnosi się banderę","Drzewce, na którym zakłada się mały żagiel","Drzewce, na którym podwieszony jest dzwon",A,"Drzewce, na którym podnosi się banderę"
14,Budowa jachtów,Brest jest to:,Lina służąca do stawiania sztaksli,Lina cumownicza biegnąca prostopadle z jachtu do nabrzeża,Potoczna nazwa szotów bezana,B,Lina cumownicza biegnąca prostopadle z jachtu do nabrzeża
15,Budowa jachtów,Gardą (szponą) nazywamy element konstrukcji:,Łączący bom z masztem,Łączący gafel z masztem,Łączący bukszpryt z kadłubem,B,Łączący gafel z masztem
16,Budowa jachtów,Końce bomu to:,Hals i szkentla,Nok i pięta,Pik i garda,B,Nok i pięta
17,Budowa jachtów,Refpatentem nazywamy element konstrukcyjny:,"Bomu, pozwalający na nawijanie żagla na bom","Masztu, pozwalający na zwijanie żagla do masztu","Bukszprytu, pozwalający na przesuwanie bukszprytu do rufy",A,"Bomu, pozwalający na nawijanie żagla na bom"
18,Budowa jachtów,"Przy ożaglowaniu bermudzkim krawędź żagla mocowana do takielunku (masztu, sztagu) to:",Lik górny,Lik przedni,Lik wolny,B,Lik przedni
19,Budowa jachtów,Najczęściej stosowane napięcie w akumulatorach jachtowych to:,230 V,12 V,48 V,B,12 V
20,Budowa jachtów,"Pomieszczenie służące do przygotowywania posiłków na jachcie, to:",Kubryk,Kambuz,Kingston,B,Kambuz
21,Budowa jachtów,Szpicgat to typ kadłuba jachtu o poniższej charakterystyce:,"Bez pawęży, dziób i rufa ostro zakończone.","Dziób zakończony tępo, rufa z pawężą","Dziób z dużym nawisem, rufa z bardzo szeroką pawężą",A,"Bez pawęży, dziób i rufa ostro zakończone."
22,Budowa jachtów,Jakiego rodzaju paliwo używane jest w czterosuwowych silnikach przyczepnych:,Benzyna zmieszana z olejem silnikowym,Olej napędowy,Czysta benzyna,C,Czysta benzyna
